"model_type","type","severity","stage","dgini_mean","dgini_sd","dbrier_mean","dbrier_sd","doe_mean","doe_sd","dks_mean","dks_sd"
"glm","mnar","mild","prepared",0.00404924285058705,0.00175612449010722,0.000400763711356706,8.49695612552378e-05,-0.120348937015957,0.016024218716422,0.00474917523799841,0.00204808535599472
"glm","mnar","mild","impaired",0.00103745036186795,0.000797960012246382,3.74118957413853e-05,2.36856889520641e-05,0.0447572574161385,0.0304281307475015,0.000693650096685411,0.00416989616779054
"glm","mnar","severe","prepared",0.00408460328130205,0.00190057400995399,0.000453471321561608,7.52883215560029e-05,-0.113287188564332,0.0089377355848245,0.00471584025592539,0.00258057513593746
"glm","mnar","severe","impaired",0.000389541224087475,0.00271471972764454,0.000131525105445603,7.00219797241323e-05,0.143107819273867,0.0322043561266075,0.00122118527571474,0.00568036219018635
"glm","noise","mild","prepared",0.00402401178792882,0.00169524060587367,0.000232900850063135,3.13588861188719e-05,-0.0887685952884144,0.0104559844948634,0.0039447134237686,0.00402709453597689
"glm","noise","mild","impaired",0.00226043191686711,0.000871014667443051,3.49409412904535e-05,1.38467497853539e-05,0.0110264480487479,0.00205708169714616,0.00188196832110762,0.0040239431103067
"glm","noise","severe","prepared",0.00265833598370226,0.00298383059104381,0.000341870729634461,7.66712047330141e-05,-0.0171763897866475,0.00482602980481848,0.00390785456868578,0.0051857942381914
"glm","noise","severe","impaired",0.00314196917966576,0.00301978027188919,0.00029729993910696,6.69073077129506e-05,0.0271529902733391,0.00528857697438606,0.00377344636363331,0.00495935277626069
"xgboost","impl","mild","prepared",-0.0187878836131219,0.00515817739839109,0.000653863924017234,0.000162846044464317,0.0243455451481321,0.0328573461553828,-0.023945111295942,0.00787833059030696
"xgboost","impl","mild","impaired",-0.023898888997353,0.00470509762095485,0.000431209421224931,0.000115226368996963,0.00599029113181052,0.0245803353970443,-0.0307796027396819,0.008033149035818
"xgboost","impl","severe","prepared",-0.0648839434948846,0.00682594532436062,0.0010892880707244,0.000105822875525607,0.0333480679048581,0.0414952212337582,-0.0780630381717437,0.0140734623448885
"xgboost","impl","severe","impaired",-0.0580099999063732,0.00791068326208534,0.00109470565014937,0.000155372439462498,0.027407131299393,0.0372389386050918,-0.0714477489015337,0.0162787286254105
"xgboost","mar","mild","prepared",-0.00379902568765293,0.00464805771878069,0.000387880692323569,0.000118634237817988,-0.00224704548982476,0.0117605140871696,-0.00267085756696674,0.00905990628590068
"xgboost","mar","mild","impaired",-0.00559547529499256,0.00296642726388582,8.9514263024584e-05,6.85079840079253e-05,-0.00484336891467947,0.0120670096246528,-0.00783162980585012,0.0106146202497732
"xgboost","mar","severe","prepared",-0.0210119861809077,0.00661160547011447,0.000597081706855545,9.87188137025031e-05,0.00898850616341352,0.0323688479543574,-0.0273120826951924,0.00852296056706752
"xgboost","mar","severe","impaired",-0.0242104628317281,0.00615320499917352,0.000294482837415889,4.41930011252217e-05,0.00727829224222412,0.0306981532635505,-0.0310989544774441,0.00903772858555688
"xgboost","mcar","mild","prepared",-0.021327424549448,0.00610626709986078,0.000594482209663891,0.00014108036982207,-0.00587292177621236,0.0237964304446152,-0.0261480732202461,0.00779002952364845
"xgboost","mcar","mild","impaired",-0.0190645988754101,0.0042878978695671,0.000259121440828103,6.32673596068322e-05,-0.00312695915919304,0.0232205712500909,-0.0240683492045492,0.00980439601625293
"xgboost","mcar","severe","prepared",-0.0830590701030754,0.0095906055550448,0.00142441062626326,0.000140072342823558,0.0297942734879184,0.0450383251100437,-0.0961408127114841,0.0155315770540891
"xgboost","mcar","severe","impaired",-0.0842149962459747,0.00810778446556032,0.00109715265233703,9.75766732158546e-05,0.0498424428616316,0.0425273744320779,-0.10181502012026,0.0179630719265196
"xgboost","mnar","mild","prepared",-0.00270136854764018,0.00427348907202387,0.000664664837066192,0.000222813921743044,0.0442816969049323,0.0319955578092959,-0.00328086203013923,0.00651933339770733
"xgboost","mnar","mild","impaired",-0.00602660155514374,0.00335620523717051,0.000358064598869819,9.45873787829067e-05,0.0460032340743221,0.0314660318616313,-0.0103592950439385,0.00856711514677709
"xgboost","mnar","severe","prepared",-0.0126935518666274,0.00430189318190782,0.00116851264065838,0.000233493342132767,0.136862997454835,0.0253485903951665,-0.0153929366147749,0.0075132561177076
"xgboost","mnar","severe","impaired",-0.0203559368743196,0.00585198613370472,0.000792401373531525,0.00017831751947187,0.128183571719899,0.0270803956914257,-0.028126591545476,0.0112659627679878
"xgboost","noise","mild","prepared",-0.138486285802745,0.00787570353265771,0.00203406134900195,0.00017915061462078,0.0245714736559709,0.00934811027802459,-0.154471135012108,0.0148568209700086
"xgboost","noise","mild","impaired",-0.137280369556345,0.00826155402028146,0.00178908260235939,0.000177278740344964,0.0293650727593001,0.0115716807655127,-0.157940823989333,0.0127711772660348
"xgboost","noise","severe","prepared",-0.193315726238136,0.0129066051919898,0.00263160558097745,0.00016828046304251,0.0175019199826523,0.0325140419546718,-0.204487723261962,0.0165713176671201
"xgboost","noise","severe","impaired",-0.191604863503723,0.0131116257990082,0.00255012401677283,0.000202748418068498,0.0315858428198783,0.0312203692162678,-0.206922087803531,0.0194633735878457
