"stage","type","severity","term","est_mean","est_sd","true","clean_est_mean","diff_from_clean"
"prepared","impl","mild","firm_age",-0.0883862580927142,0.0278698782225662,-0.2,-0.106386791934536,0.0180005338418217
"impaired","impl","mild","firm_age",-0.120618508731965,0.0474571488135729,-0.2,-0.106386791934536,-0.0142317167974293
"prepared","impl","severe","firm_age",-0.00197554545505349,0.00363783582322105,-0.2,-0.106386791934536,0.104411246479482
"impaired","impl","severe","firm_age",-0.120917050315047,0.0478822664383656,-0.2,-0.106386791934536,-0.0145302583805112
"prepared","mar","mild","firm_age",-0.108519790439811,0.0447787442903517,-0.2,-0.106386791934536,-0.00213299850527482
"impaired","mar","mild","firm_age",-0.115902620576702,0.0529904536588874,-0.2,-0.106386791934536,-0.00951582864216595
"prepared","mar","severe","firm_age",-0.114298334572155,0.0436452008258443,-0.2,-0.106386791934536,-0.00791154263761931
"impaired","mar","severe","firm_age",-0.117961069155135,0.0486345382076195,-0.2,-0.106386791934536,-0.0115742772205994
"prepared","mcar","mild","firm_age",-0.121156317008891,0.0432233736631279,-0.2,-0.106386791934536,-0.0147695250743549
"impaired","mcar","mild","firm_age",-0.0993893628942754,0.0400289366452461,-0.2,-0.106386791934536,0.00699742904026059
"prepared","mcar","severe","firm_age",-0.111300938761175,0.0481671317844435,-0.2,-0.106386791934536,-0.0049141468266387
"impaired","mcar","severe","firm_age",-0.161498345823225,0.116221326059102,-0.2,-0.106386791934536,-0.0551115538886886
"prepared","mnar","mild","firm_age",-0.0987087700874572,0.0454963539417722,-0.2,-0.106386791934536,0.00767802184707878
"impaired","mnar","mild","firm_age",-0.103728776452186,0.049420642738521,-0.2,-0.106386791934536,0.00265801548235035
"prepared","mnar","severe","firm_age",-0.0978596867521182,0.04561774088762,-0.2,-0.106386791934536,0.0085271051824178
"impaired","mnar","severe","firm_age",-0.106992210537634,0.0571999207933103,-0.2,-0.106386791934536,-0.000605418603098387
"prepared","noise","mild","firm_age",-0.106628428587583,0.0452987089337034,-0.2,-0.106386791934536,-0.00024163665304705
"impaired","noise","mild","firm_age",-0.108546862011112,0.0470895459972913,-0.2,-0.106386791934536,-0.00216007007657597
"prepared","noise","severe","firm_age",-0.115245213541687,0.0492276041448094,-0.2,-0.106386791934536,-0.00885842160715054
"impaired","noise","severe","firm_age",-0.120002343249219,0.0486899014744522,-0.2,-0.106386791934536,-0.013615551314683
"clean","clean","none","intercept",-4.16322598120029,0.0725070686981024,-3.9,-4.16322598120029,0
"prepared","impl","mild","intercept",-4.25924506803734,0.0702308333563414,-3.9,-4.16322598120029,-0.0960190868370532
"impaired","impl","mild","intercept",-4.29848734127755,0.0639226582875008,-3.9,-4.16322598120029,-0.135261360077262
"prepared","impl","severe","intercept",-4.31276690777108,0.0623289848087661,-3.9,-4.16322598120029,-0.149540926570798
"impaired","impl","severe","intercept",-4.29534843244991,0.0629608703182486,-3.9,-4.16322598120029,-0.132122451249619
"prepared","mar","mild","intercept",-4.19692349039561,0.0701226021760728,-3.9,-4.16322598120029,-0.0336975091953242
"impaired","mar","mild","intercept",-4.17020071653857,0.0738437490197017,-3.9,-4.16322598120029,-0.00697473533827964
"prepared","mar","severe","intercept",-4.18315289058577,0.0673571417280475,-3.9,-4.16322598120029,-0.0199269093854877
"impaired","mar","severe","intercept",-4.16283389792912,0.0655155347387498,-3.9,-4.16322598120029,0.000392083271167465
"prepared","mcar","mild","intercept",-4.22009363436768,0.0685566692149678,-3.9,-4.16322598120029,-0.0568676531673882
"impaired","mcar","mild","intercept",-4.13598194960264,0.0468905893767095,-3.9,-4.16322598120029,0.0272440315976512
