"stage","type","severity","Feature","gain_mean","gain_sd"
"prepared","mnar","mild","sector_2",0.0125306278978839,0.00284837741395632
"impaired","mnar","mild","sector_2",0.0123526712594802,0.00193814280315269
"prepared","mnar","severe","sector_2",0.0130611304333576,0.00271217814995868
"impaired","mnar","severe","sector_2",0.0127161052774629,0.00196814248001727
"prepared","noise","mild","sector_2",0.0125516074861655,0.00155746625633314
"impaired","noise","mild","sector_2",0.012585163647504,0.00161163121725429
"prepared","noise","severe","sector_2",0.0109814339737152,0.00210493755156994
"impaired","noise","severe","sector_2",0.0109840173879452,0.00178578954577992
"clean","clean","none","sector_3",0.00796750558415245,0.00277034136500794
"prepared","impl","mild","sector_3",0.00833653386986171,0.00243698427668857
"impaired","impl","mild","sector_3",0.00763799424055586,0.00230139641831911
"prepared","impl","severe","sector_3",0.00871554107784298,0.00259494701567733
"impaired","impl","severe","sector_3",0.00917083372548134,0.00273179927381637
"prepared","mar","mild","sector_3",0.00768382275269299,0.00196186210673865
"impaired","mar","mild","sector_3",0.00745872252754439,0.00195449339071952
"prepared","mar","severe","sector_3",0.00832717195999577,0.00213537567692484
"impaired","mar","severe","sector_3",0.00742114840876861,0.00232663935892388
"prepared","mcar","mild","sector_3",0.00808315867822652,0.00261912022734863
"impaired","mcar","mild","sector_3",0.00711723888659207,0.00244527761951729
"prepared","mcar","severe","sector_3",0.00952384290118246,0.00199347884853797
"impaired","mcar","severe","sector_3",0.00842168650329673,0.00268420399100571
"prepared","mnar","mild","sector_3",0.00769360832581062,0.00208865365462898
"impaired","mnar","mild","sector_3",0.00749816548682856,0.00285158731697294
"prepared","mnar","severe","sector_3",0.00807251019295614,0.00271243391850729
"impaired","mnar","severe","sector_3",0.00774854293609194,0.00287339136389941
"prepared","noise","mild","sector_3",0.00791418018779739,0.00250689204167559
"impaired","noise","mild","sector_3",0.00767894871238914,0.00265608034213299
"prepared","noise","severe","sector_3",0.00805029941102427,0.00219414052575302
"impaired","noise","severe","sector_3",0.00825341356440046,0.00243775731691334
