"model_type","type","severity","gini_loss_mean","gini_recovery_mean","brier_loss_mean","brier_recovery_mean"
"glm","impl","mild",-0.0137204566208936,0.00817756828720646,0.000727024615118452,-0.000160470399251004
"glm","impl","severe",-0.0138807224817058,-0.00257454053189161,0.000729180017286961,-1.10500102614406e-05
"glm","mar","mild",0.000334197057347496,0.00127998791772319,1.10963023252621e-05,0.000365458312172941
"glm","mar","severe",-0.000428737875984542,-0.000367827608093707,1.92680412313941e-05,0.000444531162385482
"glm","mcar","mild",0.000106260152209936,0.00433269432707479,1.31959910215248e-05,0.000383765728608747
"glm","mcar","severe",-0.00974233659035009,0.0138756926264203,6.63871400933911e-05,0.000493946973228955
"glm","mnar","mild",0.00103745036186795,0.0030117924887191,3.74118957413853e-05,0.00036335181561532
"glm","mnar","severe",0.000389541224087475,0.00369506205721457,0.000131525105445603,0.000321946216116005
"glm","noise","mild",0.00226043191686711,0.0017635798710617,3.49409412904535e-05,0.000197959908772681
"glm","noise","severe",0.00314196917966576,-0.000483633195963495,0.00029729993910696,4.45707905275015e-05
"xgboost","impl","mild",-0.023898888997353,0.00511100538423104,0.000431209421224931,0.000222654502792303
"xgboost","impl","severe",-0.0580099999063732,-0.00687394358851134,0.00109470565014937,-5.41757942496869e-06
"xgboost","mar","mild",-0.00559547529499256,0.00179644960733962,8.9514263024584e-05,0.000298366429298985
"xgboost","mar","severe",-0.0242104628317281,0.0031984766508204,0.000294482837415889,0.000302598869439657
"xgboost","mcar","mild",-0.0190645988754101,-0.00226282567403797,0.000259121440828103,0.000335360768835788
"xgboost","mcar","severe",-0.0842149962459747,0.00115592614289928,0.00109715265233703,0.000327257973926228
"xgboost","mnar","mild",-0.00602660155514374,0.00332523300750356,0.000358064598869819,0.000306600238196373
"xgboost","mnar","severe",-0.0203559368743196,0.00766238500769223,0.000792401373531525,0.000376111267126852
"xgboost","noise","mild",-0.137280369556345,-0.00120591624639952,0.00178908260235939,0.000244978746642556
"xgboost","noise","severe",-0.191604863503723,-0.00171086273441292,0.00255012401677283,8.1481564204617e-05
